city,Teamperature(*C),Humidity (%),weather,description,wind speed (m/s)
Mumbai,29.0,82,Clouds,overcast clouds,4.33
Delhi,33.53,45,Clouds,overcast clouds,3.91
Bengaluru,21.55,88,Clouds,overcast clouds,6.82
Hyderabad,26.54,89,Clouds,overcast clouds,2.6
Chennai,29.09,84,Clouds,overcast clouds,6.54
Kolkata,31.92,59,Clear,clear sky,2.97
Pune,25.08,86,Clouds,overcast clouds,3.69
Ahmedabad,31.04,60,Clear,clear sky,5.2
Jaipur,35.73,28,Clear,clear sky,3.11
Lucknow,36.2,39,Clear,clear sky,5.27
Nagpur,32.24,64,Clouds,few clouds,3.08
Indore,31.75,41,Clouds,overcast clouds,3.43
Bhopal,28.1,52,Clear,clear sky,5.04
Patna,35.54,42,Clear,clear sky,4.03
Ludhiana,37.03,23,Clear,clear sky,6.07
Agra,37.92,28,Clear,clear sky,5.03
Kanpur,36.67,34,Clouds,broken clouds,5.06
Varanasi,36.04,36,Clear,clear sky,3.77
Nashik,25.33,84,Clouds,overcast clouds,4.21
Thane,28.52,77,Clouds,overcast clouds,3.06
Surat,31.08,68,Clouds,overcast clouds,4.2
Vadodara,32.32,56,Clouds,few clouds,4.68
Amritsar,38.69,14,Clear,clear sky,2.38
Raipur,29.59,67,Clouds,broken clouds,3.5
Ranchi,28.74,59,Clear,clear sky,3.0
Jabalpur,32.67,54,Clear,clear sky,4.57
Guwahati,32.09,64,Clear,clear sky,0.97
Dehradun,33.68,28,Clear,clear sky,0.1
Chandigarh,36.9,23,Clear,clear sky,5.72
Coimbatore,24.31,89,Clouds,overcast clouds,5.81
Kochi,26.2,91,Clouds,overcast clouds,6.73
Vijayawada,29.53,84,Rain,moderate rain,2.22
Mysuru,22.14,85,Clouds,broken clouds,5.61
Madurai,27.6,74,Clouds,overcast clouds,1.28
Jodhpur,33.34,45,Clear,clear sky,2.64
Udaipur,32.76,36,Clouds,overcast clouds,1.52
Shillong,23.97,71,Clear,clear sky,1.08
Gangtok,25.62,62,Clear,clear sky,1.49
Panaji,25.96,90,Clouds,overcast clouds,4.89
Trivandrum,27.05,88,Clouds,scattered clouds,5.77
Imphal,27.0,70,Clear,clear sky,0.57
Aizawl,25.21,88,Clouds,broken clouds,0.58
Itanagar,30.45,59,Clear,clear sky,1.4
Dispur,32.47,63,Clear,clear sky,0.78
Port Blair,27.78,92,Clouds,overcast clouds,8.62
Patiala,36.23,25,Clear,clear sky,5.15
Dhanbad,31.21,58,Clear,clear sky,3.14
Gaya,34.29,45,Clear,clear sky,2.98
